[20220509 22:28:18 INFO    ] start to connect
[20220509 22:28:47 DEBUG   ] Open Excel
[20220509 22:28:47 DEBUG   ] start to fill Power
[20220509 22:28:47 DEBUG   ] capture band: 2, ch01
[20220509 22:28:47 DEBUG   ] continue to search
[20220509 22:28:47 DEBUG   ] the power of L ch
[20220509 22:28:47 DEBUG   ] Band is found
[20220509 22:28:47 DEBUG   ] start to fill ACLR
[20220509 22:28:47 DEBUG   ] capture band: 2, ch01
[20220509 22:28:47 DEBUG   ] continue to search
[20220509 22:28:47 DEBUG   ] continue to search
[20220509 22:28:47 DEBUG   ] continue to search
[20220509 22:28:47 DEBUG   ] the ALCR of L ch
[20220509 22:28:47 DEBUG   ] ch is the same for ACLR
[20220509 22:28:47 DEBUG   ] start to fill EVM
[20220509 22:28:47 DEBUG   ] capture band: 2, ch01
[20220509 22:28:47 DEBUG   ] continue to search
[20220509 22:28:47 DEBUG   ] the evm of L ch
[20220509 22:28:47 DEBUG   ] Band is found
[20220509 22:28:47 INFO    ] Start to measure B2, downlink_chan: 9800
[20220509 22:28:47 DEBUG   ] Current Format: WCDMA
[20220509 22:28:48 DEBUG   ] Current Format: WCDMA
[20220509 22:28:48 DEBUG   ] Current Format: WCDMA
[20220509 22:28:48 INFO    ] POWER: 22.02
[20220509 22:28:48 DEBUG   ] Current Format: WCDMA
[20220509 22:28:48 INFO    ] ACLR: [Decimal('-44.01'), Decimal('-44.70'), Decimal('-57.43'), Decimal('-55.02')]
[20220509 22:28:48 DEBUG   ] Current Format: WCDMA
[20220509 22:28:48 INFO    ] EVM: 2.19
[20220509 22:28:48 DEBUG   ] [Decimal('22.02'), [Decimal('-44.01'), Decimal('-44.70'), Decimal('-57.43'), Decimal('-55.02')], Decimal('2.19')]
[20220509 22:28:48 DEBUG   ] Open Excel
[20220509 22:28:48 DEBUG   ] start to fill Power
[20220509 22:28:48 DEBUG   ] capture band: 2, ch02
[20220509 22:28:48 DEBUG   ] continue to search
[20220509 22:28:48 DEBUG   ] the power of M ch
[20220509 22:28:48 DEBUG   ] Band is found
[20220509 22:28:48 DEBUG   ] start to fill ACLR
[20220509 22:28:48 DEBUG   ] capture band: 2, ch02
[20220509 22:28:48 DEBUG   ] continue to search
[20220509 22:28:48 DEBUG   ] continue to search
[20220509 22:28:48 DEBUG   ] continue to search
[20220509 22:28:48 DEBUG   ] continue to search
[20220509 22:28:48 DEBUG   ] the ACLR of M ch
[20220509 22:28:48 DEBUG   ] ch is the same for ACLR
[20220509 22:28:48 DEBUG   ] start to fill EVM
[20220509 22:28:48 DEBUG   ] capture band: 2, ch02
[20220509 22:28:48 DEBUG   ] continue to search
[20220509 22:28:48 DEBUG   ] the evm of M ch
[20220509 22:28:48 DEBUG   ] Band is found
[20220509 22:28:48 INFO    ] Start to measure B2, downlink_chan: 9938
[20220509 22:28:48 DEBUG   ] Current Format: WCDMA
[20220509 22:28:49 DEBUG   ] Current Format: WCDMA
[20220509 22:28:49 DEBUG   ] Current Format: WCDMA
[20220509 22:28:49 INFO    ] POWER: 24.02
[20220509 22:28:49 DEBUG   ] Current Format: WCDMA
[20220509 22:28:49 INFO    ] ACLR: [Decimal('-41.72'), Decimal('-45.91'), Decimal('-53.42'), Decimal('-54.24')]
[20220509 22:28:49 DEBUG   ] Current Format: WCDMA
[20220509 22:28:49 INFO    ] EVM: 2.23
[20220509 22:28:49 DEBUG   ] [Decimal('24.02'), [Decimal('-41.72'), Decimal('-45.91'), Decimal('-53.42'), Decimal('-54.24')], Decimal('2.23')]
[20220509 22:28:49 DEBUG   ] Open Excel
[20220509 22:28:49 DEBUG   ] start to fill Power
[20220509 22:28:49 DEBUG   ] capture band: 2, ch03
[20220509 22:28:49 DEBUG   ] continue to search
[20220509 22:28:49 DEBUG   ] the power of H ch
[20220509 22:28:49 DEBUG   ] Band is found
[20220509 22:28:49 DEBUG   ] start to fill ACLR
[20220509 22:28:49 DEBUG   ] capture band: 2, ch03
[20220509 22:28:49 DEBUG   ] continue to search
[20220509 22:28:49 DEBUG   ] continue to search
[20220509 22:28:49 DEBUG   ] continue to search
[20220509 22:28:49 DEBUG   ] continue to search
[20220509 22:28:49 DEBUG   ] continue to search
[20220509 22:28:49 DEBUG   ] the ACLR of H ch
[20220509 22:28:49 DEBUG   ] ch is the same for ACLR
[20220509 22:28:49 DEBUG   ] start to fill EVM
[20220509 22:28:49 DEBUG   ] capture band: 2, ch03
[20220509 22:28:49 DEBUG   ] continue to search
[20220509 22:28:49 DEBUG   ] the evm of H ch
[20220509 22:28:49 DEBUG   ] Band is found
[20220509 22:28:49 DEBUG   ] Test Channel List: 4, downlink channel list:[1537, 1638, 1738]
[20220509 22:28:49 INFO    ] Start to measure B4, downlink_chan: 1537
[20220509 22:28:49 DEBUG   ] Current Format: WCDMA
[20220509 22:28:50 DEBUG   ] Current Format: WCDMA
[20220509 22:28:50 DEBUG   ] Current Format: WCDMA
[20220509 22:28:51 INFO    ] POWER: 22.14
[20220509 22:28:51 DEBUG   ] Current Format: WCDMA
[20220509 22:28:51 INFO    ] ACLR: [Decimal('-41.56'), Decimal('-39.92'), Decimal('-57.50'), Decimal('-56.75')]
[20220509 22:28:51 DEBUG   ] Current Format: WCDMA
[20220509 22:28:51 INFO    ] EVM: 1.74
[20220509 22:28:51 DEBUG   ] [Decimal('22.14'), [Decimal('-41.56'), Decimal('-39.92'), Decimal('-57.50'), Decimal('-56.75')], Decimal('1.74')]
[20220509 22:28:51 DEBUG   ] Open Excel
[20220509 22:28:51 DEBUG   ] start to fill Power
[20220509 22:28:51 DEBUG   ] capture band: 4, ch01
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] the power of L ch
[20220509 22:28:51 DEBUG   ] Band is found
[20220509 22:28:51 DEBUG   ] start to fill ACLR
[20220509 22:28:51 DEBUG   ] capture band: 4, ch01
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] the ALCR of L ch
[20220509 22:28:51 DEBUG   ] ch is the same for ACLR
[20220509 22:28:51 DEBUG   ] start to fill EVM
[20220509 22:28:51 DEBUG   ] capture band: 4, ch01
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] continue to search
[20220509 22:28:51 DEBUG   ] the evm of L ch
[20220509 22:28:51 DEBUG   ] Band is found
[20220509 22:28:51 INFO    ] Start to measure B4, downlink_chan: 1638
[20220509 22:28:51 DEBUG   ] Current Format: WCDMA
[20220509 22:28:52 DEBUG   ] Current Format: WCDMA
[20220509 22:28:52 DEBUG   ] Current Format: WCDMA
[20220509 22:28:52 INFO    ] POWER: 22.05
[20220509 22:28:52 DEBUG   ] Current Format: WCDMA
[20220509 22:28:52 INFO    ] ACLR: [Decimal('-47.29'), Decimal('-46.04'), Decimal('-56.12'), Decimal('-55.83')]
[20220509 22:28:52 DEBUG   ] Current Format: WCDMA
[20220509 22:28:52 INFO    ] EVM: 1.68
[20220509 22:28:52 DEBUG   ] [Decimal('22.05'), [Decimal('-47.29'), Decimal('-46.04'), Decimal('-56.12'), Decimal('-55.83')], Decimal('1.68')]
[20220509 22:28:52 DEBUG   ] Open Excel
[20220509 22:28:52 DEBUG   ] start to fill Power
[20220509 22:28:52 DEBUG   ] capture band: 4, ch02
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] the power of M ch
[20220509 22:28:52 DEBUG   ] Band is found
[20220509 22:28:52 DEBUG   ] start to fill ACLR
[20220509 22:28:52 DEBUG   ] capture band: 4, ch02
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] the ACLR of M ch
[20220509 22:28:52 DEBUG   ] ch is the same for ACLR
[20220509 22:28:52 DEBUG   ] start to fill EVM
[20220509 22:28:52 DEBUG   ] capture band: 4, ch02
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] continue to search
[20220509 22:28:52 DEBUG   ] the evm of M ch
[20220509 22:28:52 DEBUG   ] Band is found
[20220509 22:28:52 INFO    ] Start to measure B4, downlink_chan: 1738
[20220509 22:28:52 DEBUG   ] Current Format: WCDMA
[20220509 22:28:53 DEBUG   ] Current Format: WCDMA
[20220509 22:28:53 DEBUG   ] Current Format: WCDMA
[20220509 22:28:53 INFO    ] POWER: 22.24
[20220509 22:28:53 DEBUG   ] Current Format: WCDMA
[20220509 22:28:53 INFO    ] ACLR: [Decimal('-46.07'), Decimal('-47.15'), Decimal('-58.58'), Decimal('-53.89')]
[20220509 22:28:53 DEBUG   ] Current Format: WCDMA
[20220509 22:28:53 INFO    ] EVM: 1.64
[20220509 22:28:53 DEBUG   ] [Decimal('22.24'), [Decimal('-46.07'), Decimal('-47.15'), Decimal('-58.58'), Decimal('-53.89')], Decimal('1.64')]
[20220509 22:28:53 DEBUG   ] Open Excel
[20220509 22:28:53 DEBUG   ] start to fill Power
[20220509 22:28:53 DEBUG   ] capture band: 4, ch03
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] the power of H ch
[20220509 22:28:53 DEBUG   ] Band is found
[20220509 22:28:53 DEBUG   ] start to fill ACLR
[20220509 22:28:53 DEBUG   ] capture band: 4, ch03
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] the ACLR of H ch
[20220509 22:28:53 DEBUG   ] ch is the same for ACLR
[20220509 22:28:53 DEBUG   ] start to fill EVM
[20220509 22:28:53 DEBUG   ] capture band: 4, ch03
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] continue to search
[20220509 22:28:53 DEBUG   ] the evm of H ch
[20220509 22:28:53 DEBUG   ] Band is found
[20220509 22:28:53 DEBUG   ] Start to plot line chart in Excel
[20220509 22:28:54 INFO    ] Timer: 0:00:36.342179
